over_number,comm,score,match,year,batsman_bowler,bowler,batsman,innings_no,runs,batting_team,bowling_team,result,event
19.6,"Chris Morris to Axar, 1 run, widish yorker outside off stump, Axar digs it out towards mid-off",172.0,rsa-vs-ind-3rd-t20i-india-tour-of-south-africa-2017-18,2018,Chris Morris to Axar,Chris Morris , Axar,1,1.0,ind,rsa,1,runs
19.5,"Chris Morris to Bhuvneshwar, 3 runs, full toss, flicked to square leg, oh Dala fumbles and gifts a couple of extra runs",171.0,rsa-vs-ind-3rd-t20i-india-tour-of-south-africa-2017-18,2018,Chris Morris to Bhuvneshwar,Chris Morris , Bhuvneshwar,1,3.0,ind,rsa,1,runs
19.4,"Chris Morris to Karthik, <b>out</b> Lbw!! Karthik walks across and misses this inswinging yorker, wanted to flick, but got hit on the back leg, hit the boot in line with off stump. Karthik decided to review, but he knew he was gone, so marched off and waited near the boundary. HawkEye shows that the ball would have crashed into off stump. <b>Karthik lbw b Chris Morris 13(6) [4s-3]</b>",168.0,rsa-vs-ind-3rd-t20i-india-tour-of-south-africa-2017-18,2018,Chris Morris to Karthik,Chris Morris , Karthik,1,0.0,ind,rsa,1,out
19.4,"Chris Morris to Karthik, <b>wide</b>, another one down the leg-side",168.0,rsa-vs-ind-3rd-t20i-india-tour-of-south-africa-2017-18,2018,Chris Morris to Karthik,Chris Morris , Karthik,1,1.0,ind,rsa,1,runs
19.3,"Chris Morris to Karthik, <b>FOUR</b>, low full toss and Karthik gets a fine little tickle on it to beat the keeper. Morris missed the inswinging yorker there",167.0,rsa-vs-ind-3rd-t20i-india-tour-of-south-africa-2017-18,2018,Chris Morris to Karthik,Chris Morris , Karthik,1,4.0,ind,rsa,1,runs
19.2,"Chris Morris to Hardik Pandya, <b>out</b> Caught by Klaasen!! Now then, how did that ball take the leading edge? Pandya was making room, Morris followed him with a full ball, Pandya flicked awkwardly on one leg, the ball took the leading edge and went towards point, the keeper called for it. <b>Hardik Pandya c Klaasen b Chris Morris 21(17) [6s-1]</b>",163.0,rsa-vs-ind-3rd-t20i-india-tour-of-south-africa-2017-18,2018,Chris Morris to Hardik Pandya,Chris Morris , Hardik Pandya,1,0.0,ind,rsa,1,out
19.1,"Chris Morris to Karthik, leg byes, 1 run, oh dear! He's tried to reverse sweep this past point, but missed and got hit on the boot. Clever from Morris to follow Karthik as the batsman backed away",163.0,rsa-vs-ind-3rd-t20i-india-tour-of-south-africa-2017-18,2018,Chris Morris to Karthik,Chris Morris , Karthik,1,1.0,ind,rsa,1,runs
18.6,"Junior Dala to Karthik, 1 run, pulled away nicely, but there's protection in the deep, Karthik wanted two, but Hardik Pandya spots him",162.0,rsa-vs-ind-3rd-t20i-india-tour-of-south-africa-2017-18,2018,Junior Dala to Karthik,Junior Dala , Karthik,1,1.0,ind,rsa,1,runs
18.5,"Junior Dala to Karthik, <b>FOUR</b>, this is excellent batting. Long-off was called inside, Karthik spotted that, expected Dala to bowl full and wide, lofts the drive over mid-off and it's another boundary",161.0,rsa-vs-ind-3rd-t20i-india-tour-of-south-africa-2017-18,2018,Junior Dala to Karthik,Junior Dala , Karthik,1,4.0,ind,rsa,1,runs
18.4,"Junior Dala to Karthik, <b>FOUR</b>, oh my word! What a shot first up! That gets the dug out going. Karthik walks across the stumps, Junior Dala tries to cramp him for room with a short of length delivery, but Karthik manages to open the bat face at the last moment and guide it past backward point, there is no one at third man",157.0,rsa-vs-ind-3rd-t20i-india-tour-of-south-africa-2017-18,2018,Junior Dala to Karthik,Junior Dala , Karthik,1,4.0,ind,rsa,1,runs
18.3,"Junior Dala to Hardik Pandya, 1 run, full and outside off stump, Pandya reaches out and drives it to deep extra-cover",153.0,rsa-vs-ind-3rd-t20i-india-tour-of-south-africa-2017-18,2018,Junior Dala to Hardik Pandya,Junior Dala , Hardik Pandya,1,1.0,ind,rsa,1,runs
18.3,"Junior Dala to Hardik Pandya, <b>wide</b>, that's way outside off stump, left alone",152.0,rsa-vs-ind-3rd-t20i-india-tour-of-south-africa-2017-18,2018,Junior Dala to Hardik Pandya,Junior Dala , Hardik Pandya,1,1.0,ind,rsa,1,runs
18.2,"Junior Dala to Dhoni, <b>out</b> Caught by Miller!! There's more height on this than distance and Miller has another one on the rope. Short of a length delivery outside off stump, Dhoni stayed leg-side of the ball and tried to muscle it over long-off, but looks like it flew off the bottom of the bat. Easy chance by Miller's standards. Dala has three. In fact, the replay suggests that Dhoni's bat turned in his hands on making contact with the ball. <b>Dhoni c Miller b Junior Dala 12(11) [4s-1]</b>",151.0,rsa-vs-ind-3rd-t20i-india-tour-of-south-africa-2017-18,2018,Junior Dala to Dhoni,Junior Dala , Dhoni,1,0.0,ind,rsa,1,out
18.1,"Junior Dala to Dhoni, <b>FOUR</b>, low full toss, inside edge and that's so cruel for the bowler, fine leg is inside the ring and he concedes a boundary despite outsmarting the batsman. Dhoni wanted to hit that over cover",151.0,rsa-vs-ind-3rd-t20i-india-tour-of-south-africa-2017-18,2018,Junior Dala to Dhoni,Junior Dala , Dhoni,1,4.0,ind,rsa,1,runs
17.6,"Chris Morris to Dhoni, 1 run, Morris cramps the advancing Dhoni with a short of length delivery, wristed to backward square leg",147.0,rsa-vs-ind-3rd-t20i-india-tour-of-south-africa-2017-18,2018,Chris Morris to Dhoni,Chris Morris , Dhoni,1,1.0,ind,rsa,1,runs
17.5,"Chris Morris to Dhoni, no run, short ball and Dhoni was beaten for pace, nowhere close to playing the pull, Dhoni reckons it was above his head and asks the umpire if it was a wide for height",146.0,rsa-vs-ind-3rd-t20i-india-tour-of-south-africa-2017-18,2018,Chris Morris to Dhoni,Chris Morris , Dhoni,1,0.0,ind,rsa,1,runs
17.4,"Chris Morris to Hardik Pandya, 1 run, Pandya swings hard again, mistimed slog goes into the on-side",146.0,rsa-vs-ind-3rd-t20i-india-tour-of-south-africa-2017-18,2018,Chris Morris to Hardik Pandya,Chris Morris , Hardik Pandya,1,1.0,ind,rsa,1,runs
17.3,"Chris Morris to Hardik Pandya, <b>SIX</b>, he's hit this alright. Missed out on a full toss previous over, now he goes hard at it and hits it over long-on. Much needed maximum for India. Morris missed the yorker and bowled an easy ball for Pandya to free his arms",145.0,rsa-vs-ind-3rd-t20i-india-tour-of-south-africa-2017-18,2018,Chris Morris to Hardik Pandya,Chris Morris , Hardik Pandya,1,6.0,ind,rsa,1,runs
17.2,"Chris Morris to Dhoni, 1 run, now he steps out and slogs, hit along the ground to deep mid-wicket",139.0,rsa-vs-ind-3rd-t20i-india-tour-of-south-africa-2017-18,2018,Chris Morris to Dhoni,Chris Morris , Dhoni,1,1.0,ind,rsa,1,runs
17.1,"Chris Morris to Dhoni, 2 runs, ""two, two, two,"" shouts Dhoni and look at him hare across the pitch. Slower ball, Dhoni gently works it towards mid-on, takes the fielder on and completes the second",138.0,rsa-vs-ind-3rd-t20i-india-tour-of-south-africa-2017-18,2018,Chris Morris to Dhoni,Chris Morris , Dhoni,1,2.0,ind,rsa,1,runs
16.6,"Phehlukwayo to Dhoni, 1 run, short of length delivery on the stumps, Dhoni flicks it to mid-wicket and keeps strike",136.0,rsa-vs-ind-3rd-t20i-india-tour-of-south-africa-2017-18,2018,Phehlukwayo to Dhoni,Phehlukwayo , Dhoni,1,1.0,ind,rsa,1,runs
16.5,"Phehlukwayo to Hardik Pandya, 1 run, low full toss and Pandya hits it to long-on, why didn't he bludgeon that?",135.0,rsa-vs-ind-3rd-t20i-india-tour-of-south-africa-2017-18,2018,Phehlukwayo to Hardik Pandya,Phehlukwayo , Hardik Pandya,1,1.0,ind,rsa,1,runs
16.4,"Phehlukwayo to Hardik Pandya, no run, change of pace and Pandya mistimes the attempted slap back to the bowler, was the back-of-the-hand slower ball from Phehlukwayo",134.0,rsa-vs-ind-3rd-t20i-india-tour-of-south-africa-2017-18,2018,Phehlukwayo to Hardik Pandya,Phehlukwayo , Hardik Pandya,1,0.0,ind,rsa,1,runs
16.3,"Phehlukwayo to Hardik Pandya, 2 runs, 105kph slower ball on the off stump, Pandya knocks it to mid-wicket and rushes back for the second",134.0,rsa-vs-ind-3rd-t20i-india-tour-of-south-africa-2017-18,2018,Phehlukwayo to Hardik Pandya,Phehlukwayo , Hardik Pandya,1,2.0,ind,rsa,1,runs
16.2,"Phehlukwayo to Dhoni, 1 run, full delivery on the off stump, Dhoni drives it to long-on",132.0,rsa-vs-ind-3rd-t20i-india-tour-of-south-africa-2017-18,2018,Phehlukwayo to Dhoni,Phehlukwayo , Dhoni,1,1.0,ind,rsa,1,runs
16.1,"Phehlukwayo to Hardik Pandya, 1 run, good length delivery outside off stump, Pandya pushes it to long-off",131.0,rsa-vs-ind-3rd-t20i-india-tour-of-south-africa-2017-18,2018,Phehlukwayo to Hardik Pandya,Phehlukwayo , Hardik Pandya,1,1.0,ind,rsa,1,runs
15.6,"Shamsi to Hardik Pandya, 1 run, last ball of Shamsi's stint, so Pandya just leans forward and defends the ball towards to cover to see him off. 4-0-31-1 it is from Shamsi",130.0,rsa-vs-ind-3rd-t20i-india-tour-of-south-africa-2017-18,2018,Shamsi to Hardik Pandya,Shamsi , Hardik Pandya,1,1.0,ind,rsa,1,runs
15.5,"Shamsi to Dhoni, 1 run, another gentle nudge to backward square leg",129.0,rsa-vs-ind-3rd-t20i-india-tour-of-south-africa-2017-18,2018,Shamsi to Dhoni,Shamsi , Dhoni,1,1.0,ind,rsa,1,runs
15.4,"Shamsi to Hardik Pandya, 1 run, shortish and outside off stump, Pandya pushes it to mid-off",128.0,rsa-vs-ind-3rd-t20i-india-tour-of-south-africa-2017-18,2018,Shamsi to Hardik Pandya,Shamsi , Hardik Pandya,1,1.0,ind,rsa,1,runs
15.3,"Shamsi to Dhoni, 1 run, allows the ball to come and nudges to backward square leg",127.0,rsa-vs-ind-3rd-t20i-india-tour-of-south-africa-2017-18,2018,Shamsi to Dhoni,Shamsi , Dhoni,1,1.0,ind,rsa,1,runs
15.2,"Shamsi to Dhoni, no run, pushed into the off-side",126.0,rsa-vs-ind-3rd-t20i-india-tour-of-south-africa-2017-18,2018,Shamsi to Dhoni,Shamsi , Dhoni,1,0.0,ind,rsa,1,runs
15.1,"Shamsi to Dhawan, <b>out</b> Dhawan Run Out!! 1 run completed. Races down the pitch and slogs despite not getting to the pitch of the ball, oh wait, it's a direct-hit from deep mid-wicket and Dhawan is walking off without waiting for the confirmation. Oh yes, brilliant work from Dala and Dhawan is well short. This was another mistimed hit that rolled towards the deep, Dhawan tried to steal the second, but Dala had a very good arm and the accuracy was top class because he had only one stump to aim at from the side. End of Dhawan's mistimed innings. <b>Dhawan run out (Junior Dala) 47(40) [4s-3]</b>",126.0,rsa-vs-ind-3rd-t20i-india-tour-of-south-africa-2017-18,2018,Shamsi to Dhawan,Shamsi , Dhawan,1,1.0,ind,rsa,1,out
14.6,"Phehlukwayo to Dhawan, 1 run, he's missed out on a full toss and the ill-timed flick rolls wide of mid-on",125.0,rsa-vs-ind-3rd-t20i-india-tour-of-south-africa-2017-18,2018,Phehlukwayo to Dhawan,Phehlukwayo , Dhawan,1,1.0,ind,rsa,1,runs
14.6,"Phehlukwayo to Dhawan, <b>wide</b>, that's a wayward down the leg-side slower ball",124.0,rsa-vs-ind-3rd-t20i-india-tour-of-south-africa-2017-18,2018,Phehlukwayo to Dhawan,Phehlukwayo , Dhawan,1,1.0,ind,rsa,1,runs
14.5,"Phehlukwayo to Hardik Pandya, 1 run, oh he pulled that ball without watching, the head was down as it came towards his helmet, managed to get bat on ball and it rolls towards square leg",123.0,rsa-vs-ind-3rd-t20i-india-tour-of-south-africa-2017-18,2018,Phehlukwayo to Hardik Pandya,Phehlukwayo , Hardik Pandya,1,1.0,ind,rsa,1,runs
14.4,"Phehlukwayo to Hardik Pandya, no run, short of length delivery on the off stump, Pandya walks across and defends to the right of Phehlukwayo, who stops it with his boot",122.0,rsa-vs-ind-3rd-t20i-india-tour-of-south-africa-2017-18,2018,Phehlukwayo to Hardik Pandya,Phehlukwayo , Hardik Pandya,1,0.0,ind,rsa,1,runs
14.3,"Phehlukwayo to Hardik Pandya, no run, another slower ball and Pandya had to check his push-drive after walking forward, the ball goes uppishly to the right of the bowler",122.0,rsa-vs-ind-3rd-t20i-india-tour-of-south-africa-2017-18,2018,Phehlukwayo to Hardik Pandya,Phehlukwayo , Hardik Pandya,1,0.0,ind,rsa,1,runs
14.2,"Phehlukwayo to Hardik Pandya, 2 runs, change of pace, Pandya adjusts and knocks it into the vacant backward square leg region, well placed and they rocket back for two",122.0,rsa-vs-ind-3rd-t20i-india-tour-of-south-africa-2017-18,2018,Phehlukwayo to Hardik Pandya,Phehlukwayo , Hardik Pandya,1,2.0,ind,rsa,1,runs
14.1,"Phehlukwayo to Hardik Pandya, 2 runs, on the rise and driven wide of mid-off, didn't go hard at it, in fact, hit him a touch high on the bat",120.0,rsa-vs-ind-3rd-t20i-india-tour-of-south-africa-2017-18,2018,Phehlukwayo to Hardik Pandya,Phehlukwayo , Hardik Pandya,1,2.0,ind,rsa,1,runs
14.1,"Phehlukwayo to Hardik Pandya, <b>wide</b>, now then, that's gone down the leg-side alright, but Pandya walked right across and exposed the sticks, this slower ball almost shaved the leg pole",118.0,rsa-vs-ind-3rd-t20i-india-tour-of-south-africa-2017-18,2018,Phehlukwayo to Hardik Pandya,Phehlukwayo , Hardik Pandya,1,1.0,ind,rsa,1,runs
13.6,"Junior Dala to Hardik Pandya, 1 run, full and outside off stump, Pandya calmly taps to cover and takes off",117.0,rsa-vs-ind-3rd-t20i-india-tour-of-south-africa-2017-18,2018,Junior Dala to Hardik Pandya,Junior Dala , Hardik Pandya,1,1.0,ind,rsa,1,runs
13.5,"Junior Dala to Dhawan, 1 run, oh that was a mighty swing for a pull shot, but the ball didn't find the middle of the bat, Dhawan wanted to smash this short ball over the fence",116.0,rsa-vs-ind-3rd-t20i-india-tour-of-south-africa-2017-18,2018,Junior Dala to Dhawan,Junior Dala , Dhawan,1,1.0,ind,rsa,1,runs
13.4,"Junior Dala to Hardik Pandya, 1 run, Pandya gets an inside edge onto pad as he tries to defend this length ball, rolls to cover-point and they take a quick single",115.0,rsa-vs-ind-3rd-t20i-india-tour-of-south-africa-2017-18,2018,Junior Dala to Hardik Pandya,Junior Dala , Hardik Pandya,1,1.0,ind,rsa,1,runs
13.3,"Junior Dala to Dhawan, 1 run, pushed away through mid-off",114.0,rsa-vs-ind-3rd-t20i-india-tour-of-south-africa-2017-18,2018,Junior Dala to Dhawan,Junior Dala , Dhawan,1,1.0,ind,rsa,1,runs
13.2,"Junior Dala to Dhawan, 2 runs, fullish and outside off stump, Dhawan drives to deep backward point, a fumble by the bowler while collecting the throw and they get an extra run",113.0,rsa-vs-ind-3rd-t20i-india-tour-of-south-africa-2017-18,2018,Junior Dala to Dhawan,Junior Dala , Dhawan,1,2.0,ind,rsa,1,runs
13.1,"Junior Dala to Manish Pandey, <b>out</b> Caught by Miller!! Mistimed and Miller won't drop those. Pandey was always looking to go bang, bang from the start. The runs were flowing, maybe could have chosen a better ball to hit. On seeing the batsman advance, Junior Dala dropped this short and cramped Pandey for room, it was a big swing of the bat in an attempt to go big, but the timing was awful as he tried to go towards mid-wicket, Miller ran forward and completed the catch. Maybe the pressure of Dhawan not freely scoring got to him, but Dhawan too has found his timing recently. <b>Manish Pandey c Miller b Junior Dala 13(10) [6s-1]</b>",111.0,rsa-vs-ind-3rd-t20i-india-tour-of-south-africa-2017-18,2018,Junior Dala to Manish Pandey,Junior Dala , Manish Pandey,1,0.0,ind,rsa,1,out
12.6,"Phangiso to Manish Pandey, 1 run, calm, showing out the full bat face in smearing it to long-off",111.0,rsa-vs-ind-3rd-t20i-india-tour-of-south-africa-2017-18,2018,Phangiso to Manish Pandey,Phangiso , Manish Pandey,1,1.0,ind,rsa,1,runs
12.5,"Phangiso to Dhawan, 1 run, gets his sweeping timing right. Mid-wicket",110.0,rsa-vs-ind-3rd-t20i-india-tour-of-south-africa-2017-18,2018,Phangiso to Dhawan,Phangiso , Dhawan,1,1.0,ind,rsa,1,runs
12.4,"Phangiso to Dhawan, <b>FOUR</b>, rubs it in, but down the ground. Oh Shamsi. Gets down, all bottom-handed and hammers it straight back",109.0,rsa-vs-ind-3rd-t20i-india-tour-of-south-africa-2017-18,2018,Phangiso to Dhawan,Phangiso , Dhawan,1,4.0,ind,rsa,1,runs
12.3,"Phangiso to Dhawan, 2 runs, it's that man Shamsi again. <b>And it's a drop again</b>. Synonyms. A top-edge on the sweep, and Shamsi at 45 behind square runs all around swirling under. Was never going to be caught",105.0,rsa-vs-ind-3rd-t20i-india-tour-of-south-africa-2017-18,2018,Phangiso to Dhawan,Phangiso , Dhawan,1,2.0,ind,rsa,1,runs
12.2,"Phangiso to Dhawan, no run, loopily enough to fox around with Dhawan's mind. Way too early into his carve",103.0,rsa-vs-ind-3rd-t20i-india-tour-of-south-africa-2017-18,2018,Phangiso to Dhawan,Phangiso , Dhawan,1,0.0,ind,rsa,1,runs
12.1,"Phangiso to Manish Pandey, 1 run, slows it up. Pandey waits for the dip to come down and slices it to long-off",103.0,rsa-vs-ind-3rd-t20i-india-tour-of-south-africa-2017-18,2018,Phangiso to Manish Pandey,Phangiso , Manish Pandey,1,1.0,ind,rsa,1,runs
11.6,"Shamsi to Dhawan, <b>FOUR</b>, one brings him another. Another filthy drag down, and inevitably gets pulled into square leg. Angry flat-bats these",102.0,rsa-vs-ind-3rd-t20i-india-tour-of-south-africa-2017-18,2018,Shamsi to Dhawan,Shamsi , Dhawan,1,4.0,ind,rsa,1,runs
11.5,"Shamsi to Manish Pandey, 1 run, yorks with his jumps down the pitch, toe-ing it to mid-wicket",98.0,rsa-vs-ind-3rd-t20i-india-tour-of-south-africa-2017-18,2018,Shamsi to Manish Pandey,Shamsi , Manish Pandey,1,1.0,ind,rsa,1,runs
11.4,"Shamsi to Dhawan, 1 run, drills it past an outstretched right palm of the bowler",97.0,rsa-vs-ind-3rd-t20i-india-tour-of-south-africa-2017-18,2018,Shamsi to Dhawan,Shamsi , Dhawan,1,1.0,ind,rsa,1,runs
11.3,"Shamsi to Dhawan, <b>FOUR</b>, finally. Gets what he's been looking for, desperately - his first boundary and it's taken him 29 balls. Off a half tracker, swatted and mowed away to bisect the two men in the deep square leg region",96.0,rsa-vs-ind-3rd-t20i-india-tour-of-south-africa-2017-18,2018,Shamsi to Dhawan,Shamsi , Dhawan,1,4.0,ind,rsa,1,runs
11.2,"Shamsi to Manish Pandey, 1 run, dug out, whippily rather to leg",92.0,rsa-vs-ind-3rd-t20i-india-tour-of-south-africa-2017-18,2018,Shamsi to Manish Pandey,Shamsi , Manish Pandey,1,1.0,ind,rsa,1,runs
11.1,"Shamsi to Manish Pandey, <b>SIX</b>, and <i>just</i> over. Miller, strangely placed a cool ten yards inside the ropes and Pandey takes on just that gap. Hoicked up and there's nothing that dive can do",91.0,rsa-vs-ind-3rd-t20i-india-tour-of-south-africa-2017-18,2018,Shamsi to Manish Pandey,Shamsi , Manish Pandey,1,6.0,ind,rsa,1,runs
10.6,"Phangiso to Manish Pandey, 1 run, straight on with the arm. Off the hips. Or perhaps not..there's a tickle",85.0,rsa-vs-ind-3rd-t20i-india-tour-of-south-africa-2017-18,2018,Phangiso to Manish Pandey,Phangiso , Manish Pandey,1,1.0,ind,rsa,1,runs
10.5,"Phangiso to Manish Pandey, no run, stays behind the line, respect dished out. In plenty",84.0,rsa-vs-ind-3rd-t20i-india-tour-of-south-africa-2017-18,2018,Phangiso to Manish Pandey,Phangiso , Manish Pandey,1,0.0,ind,rsa,1,runs
10.4,"Phangiso to Dhawan, 1 run, gets away, on his move of course and stretches in a version of the drive to long-off",84.0,rsa-vs-ind-3rd-t20i-india-tour-of-south-africa-2017-18,2018,Phangiso to Dhawan,Phangiso , Dhawan,1,1.0,ind,rsa,1,runs
10.3,"Phangiso to Dhawan, no run, on the dance, jamming it into the ground and popping back. Crowd catch",83.0,rsa-vs-ind-3rd-t20i-india-tour-of-south-africa-2017-18,2018,Phangiso to Dhawan,Phangiso , Dhawan,1,0.0,ind,rsa,1,runs
10.2,"Phangiso to Manish Pandey, 1 run, low, opening up the bat face as he creams it through sweeper",83.0,rsa-vs-ind-3rd-t20i-india-tour-of-south-africa-2017-18,2018,Phangiso to Manish Pandey,Phangiso , Manish Pandey,1,1.0,ind,rsa,1,runs
10.1,"Phangiso to Dhawan, 1 run, a hint of drift coming in on the pads. Whipped out to long-on",82.0,rsa-vs-ind-3rd-t20i-india-tour-of-south-africa-2017-18,2018,Phangiso to Dhawan,Phangiso , Dhawan,1,1.0,ind,rsa,1,runs
9.6,"Shamsi to Dhawan, 1 run, skids along off the turf, punched down the ground",81.0,rsa-vs-ind-3rd-t20i-india-tour-of-south-africa-2017-18,2018,Shamsi to Dhawan,Shamsi , Dhawan,1,1.0,ind,rsa,1,runs
9.5,"Shamsi to Manish Pandey, 1 run, tucked away off the hips, round the corner",80.0,rsa-vs-ind-3rd-t20i-india-tour-of-south-africa-2017-18,2018,Shamsi to Manish Pandey,Shamsi , Manish Pandey,1,1.0,ind,rsa,1,runs
9.4,"Shamsi to Raina, <b>out</b> Caught by Behardien !! Oh Behardien. The lofted drive had everything, grace, elevation, power and everything that would have brought a six at Pretoria. Just that this is the coast. Gravity is a lot more heartless. And a party-pooper. And the parabola has died just inside the straight boundary. But it's been typically Raina. <b>Raina c Behardien b Shamsi 43(27) [4s-5 6s-1]</b>",79.0,rsa-vs-ind-3rd-t20i-india-tour-of-south-africa-2017-18,2018,Shamsi to Raina,Shamsi , Raina,1,0.0,ind,rsa,1,out
9.3,"Shamsi to Dhawan, 1 run, <b>no wait</b>. A correction. He's slogged, off the inside half. Oh dear. How the lack of timing haunts people",79.0,rsa-vs-ind-3rd-t20i-india-tour-of-south-africa-2017-18,2018,Shamsi to Dhawan,Shamsi , Dhawan,1,1.0,ind,rsa,1,runs
9.2,"Shamsi to Dhawan, 2 runs, goes reverse. Oh the desperation. Never thought he'd be this ugly. Behind point",78.0,rsa-vs-ind-3rd-t20i-india-tour-of-south-africa-2017-18,2018,Shamsi to Dhawan,Shamsi , Dhawan,1,2.0,ind,rsa,1,runs
9.1,"Shamsi to Raina, 1 run, knocks it to leg. And realizes it is Shamsi who'll have to run and clean up. And obviously takes him on. And rightly so. He's fluffed up the chance",76.0,rsa-vs-ind-3rd-t20i-india-tour-of-south-africa-2017-18,2018,Shamsi to Raina,Shamsi , Raina,1,1.0,ind,rsa,1,runs
8.6,"Duminy to Raina, 1 run, moves away again, opening up his punch. Long-off this time",75.0,rsa-vs-ind-3rd-t20i-india-tour-of-south-africa-2017-18,2018,Duminy to Raina,Duminy , Raina,1,1.0,ind,rsa,1,runs
8.5,"Duminy to Raina, 2 runs, slides backwards, sticking out the full straight bat in a punch down the ground",74.0,rsa-vs-ind-3rd-t20i-india-tour-of-south-africa-2017-18,2018,Duminy to Raina,Duminy , Raina,1,2.0,ind,rsa,1,runs
8.4,"Duminy to Raina, <b>FOUR</b>, now Behardien gets some bad bounce. A formality of a stop at sweeper, and he ruins the pressure that was built up",72.0,rsa-vs-ind-3rd-t20i-india-tour-of-south-africa-2017-18,2018,Duminy to Raina,Duminy , Raina,1,4.0,ind,rsa,1,runs
8.3,"Duminy to Dhawan, 1 run, pre-meditates the hack. Ungainly in the process. Once again, single, mid-wicket",68.0,rsa-vs-ind-3rd-t20i-india-tour-of-south-africa-2017-18,2018,Duminy to Dhawan,Duminy , Dhawan,1,1.0,ind,rsa,1,runs
8.2,"Duminy to Raina, 1 run, a slingy dart. 92kph. Can't capitalize. Singles is all India are getting .. cover on this occasion",67.0,rsa-vs-ind-3rd-t20i-india-tour-of-south-africa-2017-18,2018,Duminy to Raina,Duminy , Raina,1,1.0,ind,rsa,1,runs
8.1,"Duminy to Dhawan, 1 run, slowing it up with his loop. Dhawan sits, pulls into square leg",66.0,rsa-vs-ind-3rd-t20i-india-tour-of-south-africa-2017-18,2018,Duminy to Dhawan,Duminy , Dhawan,1,1.0,ind,rsa,1,runs
7.6,"Shamsi to Dhawan, 1 run, lines himself up, getting close to the line to tap it through the covers",65.0,rsa-vs-ind-3rd-t20i-india-tour-of-south-africa-2017-18,2018,Shamsi to Dhawan,Shamsi , Dhawan,1,1.0,ind,rsa,1,runs
7.5,"Shamsi to Dhawan, no run, dance, can't get close and the elegance in the drive isn't good worthy enough of a gap",64.0,rsa-vs-ind-3rd-t20i-india-tour-of-south-africa-2017-18,2018,Shamsi to Dhawan,Shamsi , Dhawan,1,0.0,ind,rsa,1,runs
7.4,"Shamsi to Raina, 1 run, lean, drive, long-on. Join the dots",64.0,rsa-vs-ind-3rd-t20i-india-tour-of-south-africa-2017-18,2018,Shamsi to Raina,Shamsi , Raina,1,1.0,ind,rsa,1,runs
7.3,"Shamsi to Raina, no run, fuller. Waited, read and blocked",63.0,rsa-vs-ind-3rd-t20i-india-tour-of-south-africa-2017-18,2018,Shamsi to Raina,Shamsi , Raina,1,0.0,ind,rsa,1,runs
7.2,"Shamsi to Raina, no run, squares him up. Raina tries going against the turn, on the back foot. <b>And an obvious appeal</b>, try keeping Shamsi away from that. An Inside-edge is there",63.0,rsa-vs-ind-3rd-t20i-india-tour-of-south-africa-2017-18,2018,Shamsi to Raina,Shamsi , Raina,1,0.0,ind,rsa,1,runs
7.1,"Shamsi to Dhawan, 1 run, a pad-line to start. Quite full too to not discourage Dhawan in taking matters against the turn. Bottom-handed flick",63.0,rsa-vs-ind-3rd-t20i-india-tour-of-south-africa-2017-18,2018,Shamsi to Dhawan,Shamsi , Dhawan,1,1.0,ind,rsa,1,runs
6.6,"Duminy to Dhawan, 1 run, slower, turned away, wristily through square leg",62.0,rsa-vs-ind-3rd-t20i-india-tour-of-south-africa-2017-18,2018,Duminy to Dhawan,Duminy , Dhawan,1,1.0,ind,rsa,1,runs
6.5,"Duminy to Dhawan, 2 runs, and Dhawan runs down. Aimlessly. The length's not there, it's flat too and almost sneaks under everything. Saved by a whisker. Literally. And that whisker is on the inside edge",61.0,rsa-vs-ind-3rd-t20i-india-tour-of-south-africa-2017-18,2018,Duminy to Dhawan,Duminy , Dhawan,1,2.0,ind,rsa,1,runs
6.4,"Duminy to Dhawan, no run, spots Dhawan's moves around, pulls the length back. Another settled defence .. something's giving way, quickly",59.0,rsa-vs-ind-3rd-t20i-india-tour-of-south-africa-2017-18,2018,Duminy to Dhawan,Duminy , Dhawan,1,0.0,ind,rsa,1,runs
6.3,"Duminy to Raina, 1 run, high on the bat as he checks the poke. Not bad enough again to avoid the gap",59.0,rsa-vs-ind-3rd-t20i-india-tour-of-south-africa-2017-18,2018,Duminy to Raina,Duminy , Raina,1,1.0,ind,rsa,1,runs
6.2,"Duminy to Dhawan, 1 run, on the sweep. Nails it behind square",58.0,rsa-vs-ind-3rd-t20i-india-tour-of-south-africa-2017-18,2018,Duminy to Dhawan,Duminy , Dhawan,1,1.0,ind,rsa,1,runs
6.1,"Duminy to Dhawan, no run, tries covering the line as he stretched out to defend. Quite a Test-like pop up off the glove",57.0,rsa-vs-ind-3rd-t20i-india-tour-of-south-africa-2017-18,2018,Duminy to Dhawan,Duminy , Dhawan,1,0.0,ind,rsa,1,runs
5.6,"Chris Morris to Dhawan, 1 run, a polite carve out behind point",57.0,rsa-vs-ind-3rd-t20i-india-tour-of-south-africa-2017-18,2018,Chris Morris to Dhawan,Chris Morris , Dhawan,1,1.0,ind,rsa,1,runs
5.5,"Chris Morris to Raina, 1 run, low full toss. Dropped in front of mid-on. Quick legs follow",56.0,rsa-vs-ind-3rd-t20i-india-tour-of-south-africa-2017-18,2018,Chris Morris to Raina,Chris Morris , Raina,1,1.0,ind,rsa,1,runs
